fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Feb,31,UTTAR PRADESH,3116,GHAZIABAD,1,271.233463035019,15,0,0,10,143,25,257,32,17,0,0,0,0.69707,17,18,40,52,0,14794,22185,35,0.69707,93,34,63.75,0.4,100,NA
2023-2024,Feb,31,UTTAR PRADESH,3121,FIROZABAD,4042177,223.680253104502,50,327,3357.267166183,12148,7,14376,4040584,1090021,33029,3461,133,92.69134,12487.947024283,79983,83869,104291,113818,3360,133027,144316,26524,9037.9885181,1662802,29,44.59,15.88,99.94,NA
2023-2024,Feb,31,UTTAR PRADESH,3122,ETAH,3111639,227.381682099987,51,205,2441.863067177,12135,3,13595,3108858,568409,25899,918,46,199.10882,9709.945501677,60842,68167,100301,124860,3576,133401,163294,25730,7068.9736145,1093443,34,29.97,24.21,101.63,NA
2023-2024,Feb,31,UTTAR PRADESH,3128,KHERI,7992090,222.464219492063,48,924,5104.843038325,31022,2,45931,8069777,2678243,184573,116279,8815,416.04009,23473.249546125,167082,205643,343046,480261,11324,451504,609125,76953,17952.3664178,2249546,57,33.52,12.5,100.66,NA
2023-2024,Feb,31,UTTAR PRADESH,3134,FARRUKHABAD,2330594,224.560823333299,50,90,2146.6966277,8581,8,17127,2414575,513720,24831,12,1,148.51381,7717.3999377,48173,52014,87364,99605,2297,108257,122248,25708,5422.1895,711469,45,35.33,29.12,101.01,NA
2023-2024,Feb,31,UTTAR PRADESH,3135,ETAWAH,2441651,223.896246454357,45,276,1484.539280138,8674,0,13038,2388142,818458,46164,2932,152,147.15232,6978.651898138,52460,59069,102458,124800,3334,124941,150061,21712,5346.960298,664902,38,24.28,21.2,100.93,NA
2023-2024,Feb,31,UTTAR PRADESH,3136,KANPUR DEHAT,2208432,223.929071318082,41,256,1372.348451083,8634,1,21946,2231636,870312,59111,1684,148,127.67023,6497.300451083,53235,62903,107604,142168,1392,144380,186560,30580,4997.28177,743887,53,35.69,14.69,102,NA
2023-2024,Feb,31,UTTAR PRADESH,3137,KANPUR NAGAR,1428206,228.579060741421,39,321,471.497766655,5624,0,15694,1425156,512919,43226,14319,1129,213.2769,3942.382865555,36038,41999,73819,102043,1184,107093,141009,21318,3257.6081989,443220,45,34.07,12.61,102.27,NA
2023-2024,Feb,31,UTTAR PRADESH,3150,SULTANPUR,7570557,218.367041118313,55,489,6192.141821206,17852,5,46576,7770990,1834993,75369,16053,470,257.36879,23418.791539806,139007,150850,224271,262277,11878,279690,322942,64428,16969.2809286,4024512,65,22.78,15.79,102.66,NA
2023-2024,Feb,31,UTTAR PRADESH,3159,BALLIA,4615819,226.227013209041,48,197,3348.144093414,23297,8,33772,4744932,860325,57476,159164,9511,350.99771,14433.459745814,97433,108368,195281,242744,3472,268816,324251,57069,10734.3179424,2451746,56,24.95,21.12,100.11,NA
2023-2024,Feb,31,UTTAR PRADESH,3160,GHAZIPUR,8827279,220.896476169791,45,664,5580.427874528,17617,1,46350,8927303,1966541,112919,84850,3905,350.0561,25650.581718528,195391,229534,323722,427697,3971,407309,526362,63967,19720.097744,4130616,57,34.01,20.15,99.96,NA
2023-2024,Feb,31,UTTAR PRADESH,3163,SONBHADRA,4784596,226.494915548628,45,711,3591.46010436901,20644,1,36668,4755577,1349879,94464,1394502,91536,250.81644,14613.416654369,104502,141807,204044,311373,9384,254380,380287,57312,10771.14011,2484419,73,35.07,25.42,100.14,NA
2023-2024,Feb,31,UTTAR PRADESH,3167,AMROHA,3693726,226.290862391522,47,150,3069.276188514,8735,0,13620,3616049,875665,45290,1724,65,234.13413,11486.198785114,76598,92813,119830,166044,7332,144009,195480,22355,8182.7884666,923920,28,35.89,36.48,101.15,NA
2023-2024,Feb,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,4670169,220.745614717163,48,193,4681.46192617,10963,0,48761,4706994,1554734,95369,10663,537,271.93005,15343.87481617,97359,112920,184198,243121,4361,236109,303948,59724,10390.48284,2392619,55,34.6,20.45,100.53,NA
2023-2024,Feb,31,UTTAR PRADESH,3181,AMETHI,4439485,219.690521780041,51,186,3885.274129838,16998,0,34718,4563513,1257473,71996,106,2,228.97876,14139.858411038,88436,104599,169535,229641,3715,217469,284837,51716,10025.6055212,1911666,61,25.34,19.18,101.78,NA
2023-2024,Feb,31,UTTAR PRADESH,3182,HAPUR,295648,227.025808897359,48,21,71.016,734,0,1392,292806,143212,5095,54,7,0,735.76119,6005,6505,10525,11567,459,15859,17843,2126,664.74519,123606,21,38.8,11.28,100.99,NA
2023-2024,Jan,31,UTTAR PRADESH,3109,BIJNOR,4047786,224.277802585458,30,297,2374.216129909,12419,5,20881,4045163,1546181,125624,14954,946,178.06892,11624.687737309,131072,161240,208886,295515,2366,251647,351302,33300,9072.4026874,1233751,30,47.33,15.47,101.01,NA
2023-2024,Jan,31,UTTAR PRADESH,3128,KHERI,7567659,221.96999219452,46,895,5104.843038325,28720,2,47214,7571604,2513772,184559,107891,8815,350.04018,22261.572026125,163003,200227,342993,480195,8020,451366,610358,75934,16806.6888078,2112518,57,34.61,13.23,100.66,NA
2023-2024,Jan,31,UTTAR PRADESH,3139,JHANSI,4322382,222.816985915975,59,453,2568.884713934,6451,1,25789,4322912,1347825,73527,36185,1749,221.25594,12422.322876134,72391,102407,133398,210849,5831,164192,254149,32240,9632.1822222,1734523,55,29.98,23.17,101.29,NA
2023-2024,Jan,31,UTTAR PRADESH,3144,PRATAPGARH,6596879,224.929277339343,53,330,3366.971316471,33356,27,40698,6595184,2392181,110523,16658,575,301.92864,18503.399666871,122526,129204,240193,272662,9091,316411,361023,74054,14834.4997104,3501468,57,34.02,16.42,102.37,NA
2023-2024,Jan,31,UTTAR PRADESH,3154,GORAKHPUR,6170346,227.824307417547,51,188,5216.30455577,8166,5,38039,6165367,2078682,100861,7846,367,370.10018,19632.60940327,119781,131646,236948,289768,8750,321019,382785,46205,14046.2046675,2921414,42,26.79,33.48,100.47,NA
2023-2024,Jan,31,UTTAR PRADESH,3155,DEORIA,3980757,226.147451816798,47,213,2738.38179944,12341,55,22664,3979914,905122,44283,135473,6354,354.35935,12093.21524494,83295,88767,156394,178251,3768,201668,228045,35005,9000.4740955,1626872,28,41.59,24.5,99.75,NA
2023-2024,Jan,31,UTTAR PRADESH,3160,GHAZIPUR,8418304,223.535885584471,44,619,5580.427874528,16072,1,47294,8417249,1858967,112916,79903,3905,319.63604,24715.636008528,191172,224261,323713,427687,2924,407279,526419,63366,18815.572094,3892681,57,34.22,20.77,99.92,NA
2023-2024,Jan,31,UTTAR PRADESH,3176,SHRAVASTI,2812684,225.877945082195,55,297,1671.778258936,8525,0,12194,2815626,719913,38227,22867,1205,86.66786,8118.324268936,50917,61714,93517,130779,3014,114803,155865,20719,6359.87815,1182846,49,49.4,13.94,100.53,NA
2023-2024,Jan,31,UTTAR PRADESH,3177,CHITRAKOOT,2438386,224.747926573936,47,277,2318.932117286,6594,7,21716,2443492,897242,76144,424,30,158.24085,7968.870573286,51252,70087,109687,177624,3283,131725,209906,28310,5491.697606,1130749,75,39.53,7.12,100.05,NA
2023-2024,Jan,31,UTTAR PRADESH,3184,SAMBHAL,2335231,223.599909883496,38,264,2254.464284659,7166,7,17851,2377256,637855,41465,694,41,149.54268,7719.549238359,61711,71568,108369,137011,1857,137395,177524,25017,5315.5422737,651989,23,52.74,9,102.66,NA
2023-2024,March,31,UTTAR PRADESH,3118,ALIGARH,3392880,228.952403414893,40,202,3509.102663778,9390,1,19942,3397237,813705,45156,4229,245,301.39074,11588.549164978,84492,94848,147417,178100,3879,182839,218675,29332,7778.0557612,917682,26,35.75,25.49,100.02,NA
2023-2024,March,31,UTTAR PRADESH,3126,PILIBHIT,3509683,231.455428752979,38,631,3444.121581756,12376,1,25576,3415020,516817,48444,7953,613,371.09128,11719.462044756,88946,110225,172072,256588,5047,212614,306079,37952,7904.249183,1272773,55,17.81,16.07,100.21,NA
2023-2024,March,31,UTTAR PRADESH,3128,KHERI,8455877,229.357849175215,49,934,6746.433035583,33111,2,44692,8462084,2806479,184578,124136,8815,829.12413,26984.011023383,170227,210076,343057,480272,15568,451575,609006,77803,19408.4538578,2367162,57,32.94,12.01,100.65,NA
2023-2024,March,31,UTTAR PRADESH,3130,HARDOI,8252556,230.461605792391,51,533,6526.818461352,22531,3,55083,8490587,2735050,121885,11062,477,961.87936,27056.240962752,164279,183308,288414,346649,14058,394522,462629,77614,19567.5431414,2365154,50,26.51,20,104.02,NA
2023-2024,March,31,UTTAR PRADESH,3132,LUCKNOW,1459297,231.232313946875,43,154,1867.846201018,5132,4,12824,1462808,882174,72999,4545,324,326.98809,5577.319078018,33707,40293,80256,113299,2437,127289,187811,17956,3382.484787,492914,38,30.83,16.62,101.13,NA
2023-2024,March,31,UTTAR PRADESH,3134,FARRUKHABAD,2435281,230.511624346526,51,93,2410.5849788,9002,8,16763,2487665,528950,24831,20,1,334.85721,8479.7991886,48743,52636,87370,99613,2772,108268,122234,25765,5734.3569998,729682,45,36.04,28.6,100.99,NA
2023-2024,March,31,UTTAR PRADESH,3136,KANPUR DEHAT,2310154,230.237261287852,42,258,1817.802035183,9140,0,21556,2309319,895578,59113,1854,148,246.68774,7381.402595183,53751,63587,107610,142174,1654,144428,186597,30696,5316.91282,773248,53,35.03,14.4,102.01,NA
2023-2024,March,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,11534762,229.943654271042,56,316,12145.626847694,13246,7,29436,11961075,2731822,83288,328,15,960.49986,40609.859652794,211501,233868,305267,357793,24049,369899,430372,42682,27503.7329451,6704965,24,24.26,29.71,100.08,NA
2023-2024,March,31,UTTAR PRADESH,3153,BASTI,12417112,228.997026839324,56,289,13486.312708353,24668,14,37275,12381571,3199984,109001,452,12,1273.74771,43113.489884353,218231,251010,320309,401442,23368,385117,476810,61943,28353.429466,6334017,36,36.53,22.91,101,NA
2023-2024,March,31,UTTAR PRADESH,3154,GORAKHPUR,6873502,228.394566128274,54,196,6398.436917895,10174,4,36660,6746683,2271175,100873,8495,367,752.37635,22559.870633795,124359,136986,237003,289826,12730,321131,382692,46834,15409.0573659,3202851,42,25.67,31.68,100.52,NA
2023-2024,March,31,UTTAR PRADESH,3158,JAUNPUR,12261823,228.162916571217,55,888,10862.900150431,27166,12,72679,12231582,4164677,140282,591,10,1141.91038,39912.744764431,221104,231727,342124,373076,27816,436076,472478,99845,27907.934234,6450145,59,26.7,23.18,100.44,NA
2023-2024,March,31,UTTAR PRADESH,3159,BALLIA,4920658,232.001316754861,49,205,4114.693741814,24804,8,32676,4891685,887967,57478,163886,9511,648.21929,16111.686643314,98795,110028,195286,242749,4329,268866,324270,57480,11348.7736115,2525284,56,23.83,19.88,100.1,NA
2023-2024,March,31,UTTAR PRADESH,3161,VARANASI,2571477,230.875116525245,45,259,2100.238219767,13672,0,18141,2488302,743001,56634,15653,1051,275.62656,8120.734921767,54273,70221,103245,156556,3665,141067,203182,31813,5744.870142,1346155,60,22.42,13.08,100.72,NA
2023-2024,March,31,UTTAR PRADESH,3169,AURAIYA,2323719,228.568339372697,45,190,2520.475937068,6473,0,14263,2326404,978774,47734,8551,388,306.26232,8144.161246968,51337,58223,87539,109719,2111,118425,144064,20736,5317.4229899,644054,37,40.89,5.94,100.8,NA
2023-2024,March,31,UTTAR PRADESH,3179,MAHOBA,1635523,230.247147490506,57,80,2482.91177796,6558,1,11007,1674501,343094,32599,1849,123,305.6918,6644.09436516,28984,41712,61058,109733,3845,78468,135417,17565,3855.4907872,653411,63,40.96,13.83,100.85,NA
2023-2024,June,31,UTTAR PRADESH,3109,BIJNOR,1490835,203.446490463398,17,170,152.41478,2691,17,25588,1490835,572135,124865,5217,912,52.9369,3238.4031661,87560,103209,206604,292847,25,248383,390767,28279,3033.0514861,470792,26,37.51,22.25,100.15,NA
2023-2024,June,31,UTTAR PRADESH,3112,SAHARANPUR,626993,203.328713041897,16,89,56.73316,371,33,19837,626757,301853,82985,1464,295,4.95345,1336.063552,37063,42368,110863,159591,5,158967,230597,20208,1274.376942,259013,26,44.32,21.43,100.37,NA
2023-2024,June,31,UTTAR PRADESH,3124,BUDAUN,1008238,183.353992313922,24,147,51.30662,524,49,37987,1007536,213958,41395,857,180,34.1668,1932.8309,41056,45266,162586,195535,1,210172,271329,38511,1847.35748,327395,48,35.37,6.95,100.2,NA
2023-2024,June,31,UTTAR PRADESH,3125,BAREILLY,1718502,183.172075563485,22,757,106.146,1699,10,35815,1718502,358823,68070,1054,164,22.51039,3276.472172,75345,90217,215152,300572,57,258989,367123,37514,3147.815782,429654,40,40.66,18.59,101.55,NA
2023-2024,June,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1342608,192.412247435381,24,262,111.41524,1186,21,46919,1342597,371349,85178,607,94,85.577,2780.3133017,54575,65605,204378,278104,6,273076,385798,48105,2583.3210617,413773,57,15.72,20.28,101.01,NA
2023-2024,June,31,UTTAR PRADESH,3130,HARDOI,2934837,190.462076179793,29,185,204.76227,4973,21,60584,2934794,983865,120739,3766,457,97.80588,5892.237734,100458,109442,282620,340461,17,385138,546195,65557,5589.669584,858542,46,21.93,19.18,103.69,NA
2023-2024,June,31,UTTAR PRADESH,3153,BASTI,6167498,173.126906871655,35,209,276.24124,6713,39,44668,6167510,1632381,108570,317,12,60.30685,11014.167384,171456,193988,318377,399314,407,381756,575704,51381,10677.619294,3153475,35,35.26,36.95,101.26,NA
2023-2024,June,31,UTTAR PRADESH,3156,MAU,2629527,188.846226687335,32,225,108.9989,1762,20,25791,2628775,920494,85041,38216,3242,68.71474,5142.0560356,80798,90500,187869,237718,113,243758,330419,27553,4964.3423956,1398434,43,26.6,35.48,100.09,NA
2023-2024,June,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,556,272.462230215827,10,0,0,0,79,245,556,185,341,2,15,0,1.51489,53,53,870,969,0,11295,18351,245,1.51489,145,12,27.38,31.78,106.67,NA
2023-2024,June,31,UTTAR PRADESH,3166,HATHRAS,481267,180.633703183472,21,19,27.48098,928,19,11029,481267,149564,27748,499,63,23.8592,920.6705843,22721,26036,64135,84076,5,75046,112313,11957,869.3304043,106377,12,58.85,10.5,100.02,NA
2023-2024,June,31,UTTAR PRADESH,3167,AMROHA,1590502,185.411400928763,28,104,103.13378,1764,9,16088,1590502,389524,44998,817,62,13.44339,3065.54921,56292,65710,118581,164555,165,142330,210133,17852,2948.97204,418520,23,22.83,66.4,99.7,NA
2023-2024,June,31,UTTAR PRADESH,3168,KANNAUJ,890772,194.588836200509,25,91,57.1058,918,11,23150,890772,249292,44558,0,3,61.29523,1851.743898,34762,37771,101327,127806,10,126301,194122,24068,1733.342868,249090,45,36.23,13.8,100.77,NA
2023-2024,June,31,UTTAR PRADESH,3169,AURAIYA,662446,174.563434263682,23,34,48.89271,3132,16,14213,662404,277611,47111,2622,376,25.64809,1230.8559711,28777,31795,85731,107700,4,115310,207137,17345,1156.3151711,182848,37,31.71,6.77,100.44,NA
2023-2024,June,31,UTTAR PRADESH,3170,KAUSHAMBI,1000697,182.626023308755,28,98,110.65541,864,52,24433,999796,440005,69148,891,95,50.12559,1986.668676,35032,41277,105266,146508,36,132601,184835,25297,1825.887676,501657,62,24.44,46.58,100.27,NA
2023-2024,June,31,UTTAR PRADESH,3177,CHITRAKOOT,932317,188.501942579616,30,47,96.73074,1651,10,24017,932317,347855,75884,162,30,84.87043,1939.036826,30131,39347,108827,176501,97,130156,266163,25668,1757.435656,438029,73,31.03,6.68,99.94,NA
2023-2024,May,31,UTTAR PRADESH,3109,BIJNOR,920063,165.406772394934,13,127,0,2447,48,25507,920063,348719,124710,3085,908,38.48027,1560.3267823,68294,79155,206141,292302,0,247786,393021,27954,1521.8465123,295442,26,34.22,20.63,100,NA
2023-2024,May,31,UTTAR PRADESH,3115,MEERUT,95753,160.188672939751,19,11,0,22,182,6679,95753,39046,14279,141,158,1.39538,154.78084,4890,5287,27348,32281,0,43571,68954,6701,153.38546,36686,13,30.15,4.01,103.03,NA
2023-2024,May,31,UTTAR PRADESH,3127,SHAHJAHANPUR,813755,172.406229393368,21,207,0,842,94,46193,813755,219591,85049,557,94,42.58253,1445.546842,37204,45775,203958,277648,0,272472,386911,47035,1402.964312,284486,56,11.96,13.54,100.29,NA
2023-2024,May,31,UTTAR PRADESH,3131,UNNAO,929320,172.858694155226,22,90,0,1627,74,33395,928556,302848,86398,879,382,9.91858,1615.0083561,41493,45100,178864,225429,8,239653,318114,35022,1605.0897761,354716,44,13.87,41.44,104.47,NA
2023-2024,May,31,UTTAR PRADESH,3146,BAHRAICH,3327946,155.653768082713,29,129,0,2829,26,74314,3327833,654572,85317,26230,2324,165.50693,5345.40439,113380,129403,296729,370428,114,369165,526230,77143,5179.89746,1536214,64,23.77,9.48,100.21,NA
2023-2024,May,31,UTTAR PRADESH,3152,MAHARAJGANJ,2081957,139.487881742995,21,259,0,2235,8,46266,2081957,488172,90260,11485,2105,33.98119,2938.0589081,96481,111679,276633,398544,17,342103,525278,48501,2904.0777181,1028904,45,22.36,21.86,100,NA
2023-2024,May,31,UTTAR PRADESH,3153,BASTI,3496303,136.817347149785,26,165,0,5961,83,43974,3496315,927590,108365,193,12,10.28013,4793.845561,131662,146721,317558,398372,56,380734,579802,49935,4783.565431,1787891,35,31.11,29.76,101.43,NA
2023-2024,May,31,UTTAR PRADESH,3154,GORAKHPUR,1952405,149.065527388016,25,103,0,3580,50,39114,1952405,670825,100474,2643,362,68.63475,2978.99756,76906,82542,235583,288313,8,319081,391158,42694,2910.36281,928068,41,21.99,34.78,99.93,NA
2023-2024,May,31,UTTAR PRADESH,3157,AZAMGARH,2663447,162.042706691594,25,181,0,5511,123,79261,2663207,940011,146371,5788,731,42.86451,4358.3972176,106414,112912,322297,372606,10,410300,545499,84772,4315.5327076,1349646,62,14.67,27.18,100.91,NA
2023-2024,May,31,UTTAR PRADESH,3159,BALLIA,1319170,152.735759372114,25,54,0,8527,33,41848,1317819,218538,57145,41222,9451,40.02704,2052.8078968,51436,55645,193458,240789,0,265587,414234,50375,2012.7808568,770501,56,19.97,15.43,100.05,NA
2023-2024,May,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2126037,140.846584594328,25,90,0,2261,46,47923,2124711,724390,83980,1708,215,48.33751,3040.920386,83132,90421,201487,240870,11,232824,289416,50184,2992.582876,1181472,55,23.71,30.88,99.73,NA
2023-2024,May,31,UTTAR PRADESH,3176,SHRAVASTI,847830,162.785015864029,28,81,0,1041,8,17108,847830,215684,38022,7936,1202,12.24519,1392.38539,29662,34723,92323,129484,25,113249,180976,18149,1380.1402,359438,47,42.65,14.04,100.54,NA
2023-2024,May,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,971961,146.757164604219,22,67,0,1029,14,53472,972873,317693,94713,2087,527,28.14449,1455.90532,43070,48185,181413,240034,8,231827,328218,54501,1427.76083,508627,55,29.97,15.94,99.88,NA
2023-2024,May,31,UTTAR PRADESH,3183,SHAMLI,54475,152.754913568553,19,2,0,262,79,4670,54899,11621,4408,243,40,0,83.86092,2830,3276,21055,25888,0,42090,62000,4932,83.86092,20673,15,20.8,36.17,100.12,NA
2023-2024,Feb,31,UTTAR PRADESH,3109,BIJNOR,4310393,224.029478431995,31,300,2374.216129909,13125,5,20371,4234884,1610538,125640,16159,946,265.75814,12127.362807309,132532,163271,208926,295562,2772,251725,347071,33496,9487.3885374,1290364,30,46.44,14.78,101.08,NA
2023-2024,Feb,31,UTTAR PRADESH,3110,MORADABAD,3436864,224.118462587575,45,197,1864.319095166,5884,2,15686,3372810,648944,38708,2478,132,110.03032,9533.439333166,73536,87177,133557,179594,2686,175255,240708,21570,7559.089918,945234,29,61.45,12.17,102.24,NA
2023-2024,Feb,31,UTTAR PRADESH,3120,AGRA,4787647,228.286780217842,52,272,2520.496901171,6739,0,20361,4729292,1328680,56982,18920,851,171.92877,13488.774105071,90131,114947,134736,186746,7400,168379,227464,27100,10796.3484339,1877509,43,47.25,18.01,100.99,NA
2023-2024,Feb,31,UTTAR PRADESH,3125,BAREILLY,3950208,225.690436910207,36,1232,1552.594002325,11636,2,32295,3897025,794028,68196,2666,168,670.19401,11018.000761325,105992,130303,215874,301397,2842,260140,354839,43931,8795.212749,903149,46,38.74,13.82,101.36,NA
2023-2024,Feb,31,UTTAR PRADESH,3126,PILIBHIT,3360379,226.566786576484,37,625,2681.626667158,11835,1,26007,3320829,503228,48444,7791,613,248.41141,10453.933630158,88204,109098,172069,256585,4475,212597,306070,37842,7523.895553,1244408,55,18.29,16.62,100.22,NA
2023-2024,Feb,31,UTTAR PRADESH,3129,SITAPUR,11200641,226.102275619514,52,1154,8684.565189534,30301,4,69554,11656105,4079888,248496,8998,396,494.55113,35533.834973134,222802,281774,420923,604905,17676,561410,778284,99855,26354.7186536,3878984,63,26.84,20.61,102.61,NA
2023-2024,Feb,31,UTTAR PRADESH,3140,LALITPUR,4496116,224.712669645699,50,242,4509.86959471,14827,0,24527,4432311,931153,63748,273170,18994,256.42845,14726.26241981,87692,126883,148558,246938,9355,178348,289160,39354,9959.9643751,1909054,66,29.6,19.39,100.75,NA
2023-2024,Feb,31,UTTAR PRADESH,3142,BANDA,4010466,219.53061049092,51,403,1421.358971222,17083,2,45310,4107514,681259,69030,281,26,190.29028,10628.899811422,79518,106449,163734,263854,2867,209654,326960,62393,9017.2505602,2161330,84,32.64,11.74,102.08,NA
2023-2024,Feb,31,UTTAR PRADESH,3145,PRAYAGRAJ,6772267,225.686866526077,49,415,5158.5958752,32192,3,53501,6696574,2566782,198389,3290,190,386.39918,20658.2830804,134738,167477,299727,421481,6378,408107,554098,85693,15113.2880252,3438992,66,19.93,20.62,101.93,NA
2023-2024,Feb,31,UTTAR PRADESH,3149,AYODHYA,3967099,222.056250219888,47,119,5231.48484447401,13079,0,21335,4053195,1475622,93404,5761,364,248.69742,14480.555095574,84863,96301,177159,243047,5185,226222,301104,34414,9000.3728311,1932389,39,31.1,26.21,101.46,NA
2023-2024,Feb,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,10945953,217.232775966272,54,313,10219.015601594,12345,7,30068,11347836,2589137,83288,323,14,501.491,35371.725756494,208957,230857,305263,357789,15367,369842,430497,42413,24651.2191549,6360229,24,24.06,29.99,100.08,NA
2023-2024,Feb,31,UTTAR PRADESH,3152,MAHARAJGANJ,7521098,220.850510614426,47,551,8839.894260023,19198,0,42728,7745120,1730061,90440,40445,2106,281.15846,26226.189787723,164649,202011,277828,399998,9761,344038,483765,61926,17105.1370677,3823681,51,28.68,20.85,100.87,NA
2023-2024,Feb,31,UTTAR PRADESH,3153,BASTI,11784264,222.361451074935,55,282,12347.979722213,23096,15,38019,11888814,3073247,109000,441,12,767.43747,39551.556518213,215021,246928,320294,401427,15254,384966,476790,61115,26436.139326,6085715,36,38.83,25.15,101.03,NA
2023-2024,Feb,31,UTTAR PRADESH,3154,GORAKHPUR,6486003,224.973933910954,52,194,5216.30455577,8866,4,37694,6456834,2172106,100872,8293,367,430.15302,20172.65103167,122102,134285,236993,289816,10135,321089,382699,46560,14526.1934559,3061441,42,26.13,32.38,100.54,NA
2023-2024,Feb,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,6474,230.319924575739,16,1,0,5,14,263,6364,2145,348,116,15,0,14.65756,377,390,897,996,0,11330,12756,268,14.65756,1400,12,92.56,2.72,135.33,NA
2023-2024,Feb,31,UTTAR PRADESH,3165,BAGHPAT,42548,223.705917485987,21,5,98.374642758,22,0,2158,43532,11735,2252,7,13,4.96476,200.723062758,1990,2236,5618,7221,16,16587,20684,2180,97.38366,13711,10,72.32,3.35,108.57,NA
2023-2024,Feb,31,UTTAR PRADESH,3171,CHANDAULI,4981338,223.70706167272,52,238,3458.242909464,12395,5,22231,4970658,1341781,68676,25603,1071,259.30557,14837.261437064,95475,126485,147937,219685,3929,175004,254797,34626,11119.7129576,1917989,41,46.41,15.98,107.87,NA
2023-2024,Feb,31,UTTAR PRADESH,3172,KUSHI NAGAR,5363328,225.897028896234,44,627,4878.695858607,15356,5,38897,5379213,1324668,85110,35201,2057,365.19988,17395.378083607,121563,147917,232230,315159,3605,346610,464058,54253,12151.482345,2224381,45,36.84,13.15,101.7,NA
2023-2024,Feb,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,1872510,226.840924911506,47,51,1468.132172901,7841,13,17169,1890516,633729,43503,6332,357,200.3237,5956.919852901,40122,47852,81571,109741,1499,103531,135870,25010,4288.46398,1116409,67,27.78,26.69,101.78,NA
2023-2024,Feb,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,6907311,223.625749294629,53,251,7355.861758793,19977,10,41743,7017233,2294679,84125,5769,215,292.74185,23340.943484793,131851,146466,201942,241343,7316,233733,276348,61720,15692.339876,3941606,57,27.37,23.75,99.9,NA
2023-2024,April,31,UTTAR PRADESH,3120,AGRA,438693,93.2920161561149,15,63,0,571,138,22229,437729,115181,55836,2330,834,0.35013,408.7163394,28674,34191,131282,182117,0,163518,242158,22800,408.3662094,191311,36,26.38,9.36,100.71,NA
2023-2024,April,31,UTTAR PRADESH,3121,FIROZABAD,255413,104.818532893991,15,58,0,127,163,18967,255837,74507,32144,283,124,0.4044,268.56899,16775,17459,98693,107973,0,125439,161981,19094,268.16459,109383,30,31.61,12.35,100.41,NA
2023-2024,April,31,UTTAR PRADESH,3131,UNNAO,348325,140.012709797841,15,44,0,451,310,33087,348240,100718,86283,341,382,0.62286,488.2031206,23085,24759,178294,224778,0,238930,321328,33538,487.5802606,136246,42,16.77,27.05,109.14,NA
2023-2024,April,31,UTTAR PRADESH,3140,LALITPUR,509095,100.014595704142,18,72,0,1357,15,31792,509095,94329,63363,25623,18924,0.40772,509.577026,27678,36172,146989,244524,0,176080,320249,33149,509.169306,228605,64,9.96,13.04,100.23,NA
2023-2024,April,31,UTTAR PRADESH,3148,BARABANKI,920211,121.101989252278,18,101,0,1618,116,42785,920195,376383,150338,74,56,1.97532,1116.34977,49805,56566,249370,336261,0,345678,481386,44403,1114.37445,336012,40,16.46,11.6,99.9,NA
2023-2024,April,31,UTTAR PRADESH,3153,BASTI,1082207,71.5311969891158,17,80,0,3569,352,44628,1082207,279708,108123,74,12,1.69237,775.807991,60969,66698,316465,397192,0,379352,602931,48197,774.115621,548820,34,22.73,9.21,103.31,NA
2023-2024,April,31,UTTAR PRADESH,3155,DEORIA,377360,100.280281432555,16,31,0,1032,432,30617,377284,79914,43914,11229,6236,3.44956,381.791017,23466,24483,154279,175995,0,198284,241960,31649,378.341457,169015,27,21.26,13.58,100.15,NA
2023-2024,April,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,193,301.082901554404,5,0,0,0,82,201,193,39,338,2,15,0,0.58109,33,33,863,962,0,11287,19620,201,0.58109,45,14,91.47,8.53,100,NA
